Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5yGTQzYbEdY6B9RFZJypgt,"Rhythm Of The Night","Rhythm Of The Night","DeBarge",1985,229106,64,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"quiet storm","UNI/MOTOWN",0.707,0.759,11,-12.328,0,0.046,0.0769,0.0000284,0.0775,0.955,115.142,4
spotify:track:2m1hi0nfMR9vdGC8UcrnwU,"All The Small Things","Enema Of The State","blink-182",1999-06-01,167066,82,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"pop punk,punk,rock,skate punk,emo","Geffen",0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.685,148.708,4
spotify:track:1yU51sZHtxvZHlni32lgxM,"Dom andra","Vapen & ammunition","kent",2002-04-15,226773,55,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","RCA Records Label",0.527,0.871,10,-7.013,0,0.0663,0.0053,0.000339,0.103,0.402,103.015,4
spotify:track:4QZ6hp2CKRaZG5RI9zXQqg,"Eloise","Eloise","Arvingarna",1993-04-11,188000,50,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"dansband,swedish pop","Rockmåsen AB",0.691,0.725,7,-3.501,1,0.0272,0.297,0,0.268,0.464,132.554,4
spotify:track:1GakyY5lyvZGZXZYkk3FjS,"Butterfly","Butterfly","Crazy Town",1999-03-16,215800,47,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"rap rock,nu metal","Columbia",0.739,0.791,9,-4.796,0,0.0831,0.00144,0.000157,0.115,0.631,103.494,4
spotify:track:1hlveB9M6ijHZRbzZ2teyh,"We're Not Gonna Take It","Stay Hungry","Twisted Sister",1984-05-10,219666,10,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"glam metal,glam rock","Rhino Atlantic",0.502,0.924,4,-6.299,1,0.0503,0.0127,0,0.162,0.922,149.186,4
spotify:track:3ptdPgclNeffhYA0aY1Nw7,"Bandstarter","Painkiller","Brainpool",1995-01-01,195866,32,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop,power pop","Junk Music",0.539,0.721,11,-8.415,1,0.0489,0.00251,0.233,0.248,0.866,120.392,4
spotify:track:2ahnofp2LbBWDXcJbMaSTu,"What Is Love - 7"" Mix","What Is Love (Remixes)","Haddaway",1993-03-22,270373,6,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"eurodance","Coconut Music",0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,4
spotify:track:3SnGymj6ijE2iuUfWxLo1q,"I'm Coming Out","Diana","Diana Ross",1980-05-22,323346,73,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"motown,disco","UNI/MOTOWN",0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,4
spotify:track:1eyq8cjUQ2daFthW2PC2GM,"Glory of Love","Solitude / Solitaire","Peter Cetera",1986,258333,75,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"soft rock","Rhino/Warner Records",0.52,0.61,5,-7.935,1,0.0282,0.0805,0.00000295,0.276,0.329,144.983,4
spotify:track:29fNIVCogo4jpvKgTtIwyb,"Öppna din dörr","En kvinnas man","Tommy Nilsson",1995-12-11,333720,45,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","Alpha Records",0.617,0.267,3,-10.852,1,0.0298,0.276,0.0036,0.135,0.132,114.926,4
spotify:track:1AETk3EwqrgVaMwlaLblfh,"Ingen vill veta var du köpt din tröja","Vi ska bara leva klart","Raymond & Maria",2004-08-18,210000,40,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","WM Sweden",0.576,0.718,11,-6.452,1,0.0349,0.203,0,0.133,0.949,199.957,4
spotify:track:721DwsHOeKf7zHRABCR2rh,"You're the Voice","Whispering Jack","John Farnham",1986,300733,64,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","RCA Victor",0.502,0.66,10,-11.852,1,0.0394,0.393,0.000138,0.608,0.722,85.209,4
spotify:track:1dNIEtp7AY3oDAKCGg2XkH,"Something Just Like This","Something Just Like This","The Chainsmokers;Coldplay",2017-02-22,247626,73,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Disruptor Records/Columbia",0.607,0.649,11,-6.695,0,0.0362,0.0306,0.0000246,0.174,0.505,102.996,4
spotify:track:6hmhG1b4LEyNuashVvuIAo,"Never Forget You","So Good","Zara Larsson;MNEK",2017-03-17,212574,80,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","Epic/Record Company TEN",0.583,0.732,11,-5.729,0,0.0459,0.00315,0.00000957,0.269,0.277,146.005,4
spotify:track:5IZGN81VVgBv1lPrjXzOD6,"tystnar i luren","PS jag hatar dig","Miriam Bryant;Victor Leksell",2021-11-19,193853,53,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","WM Sweden",0.463,0.616,7,-7.166,1,0.149,0.55,0,0.446,0.695,183.76,4
spotify:track:2lWIShFroC58eaaU77tmjA,"Rosa himmel","Love & Devotion","Jonathan Johansson",2016-11-11,255040,39,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","S:t C",0.487,0.258,2,-13.842,1,0.0316,0.785,0.0113,0.0859,0.212,144.049,4
spotify:track:4QKscNaTs47Zv3QV9o62yX,"Komplicerad","Underbart i all misär","Miss Li",2021-09-24,159378,48,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"swedish pop","Pistol Packin' Music",0.934,0.488,8,-7.014,1,0.0713,0.0494,0,0.0642,0.867,116.049,4
spotify:track:1hc7CJ5YGmjVKipS0ApnOG,"Jag vill vara din, Margareta","Bella Bella","Sten & Stanley",1976-04-16,216493,40,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"dansband","WM Sweden",0.391,0.904,10,-5.877,1,0.0504,0.235,0,0.0859,0.85,125.634,4
spotify:track:1ifq3DVpguU02W6Prh5T3u,"Everything's Gonna Be Alright","Sweetbox","Sweetbox",1998-03-06,194133,46,false,jd0b7ordx7wxotdeb3uohqwyc,2023-04-22T14:36:40Z,"","High Fashion Music",0.643,0.584,2,-9.073,1,0.0462,0.253,0,0.089,0.589,84.983,4
